"study";"n1";"n2";"n";"g";"type";"pub";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Allerdings & Alfano (2006)";13;11;24;-0.81;"r";0;13;11;24;0.81;0.806059279;0;0;0.838928571428571;0.834847110392857;0.166649697880689;0.16664986257171;0.155354771864995;0.155354925393841
"Borgaro et al. (2004)";27;27;54;-1.21;"r";0;27;27;54;1.21;1.206424936;0;0;1.22779411764706;1.22416647917647;0.0740726558079521;0.0740726641762253;0.0719411805200526;0.0719411886475249
"Braun et al. (1989)";31;31;62;-1.47;"r";0;31;31;62;1.47;1.465891024;0;0;1.48868644067797;1.4845252319322;0.0645149291970062;0.0645149358951189;0.0629054725329819;0.0629054790639965
"Green et al. (2004)";30;30;60;-1.15;"r";0;30;30;60;1.15;1.150723118;0;0;1.16513157894737;1.16586421165789;0.0666658286947329;0.0666658276405843;0.0649454927543898;0.0649454917274439
"Henry et al. (2006)";17;16;33;-0.54;"r";0;17;16;33;0.54;0.540824389;0;0;0.5535;0.554344998725;0.121210054585244;0.121210048270519;0.115369474917543;0.115369468907097
"Hopkins et al. (2002)";15;15;30;-1.38;"r";0;15;15;30;1.38;1.381345258;0;0;1.41833333333333;1.41971595961111;0.133313467953332;0.133313429209715;0.126204714731569;0.126204678053901
"Ietswaart et al. (2008)";32;30;62;-0.81;"r";0;32;30;62;0.81;0.81430603;0;0;0.820296610169492;0.824657377838983;0.0645157647293732;0.0645157608457686;0.0629062872212876;0.0629062834345675
"McDonald & Saunders (2005)";28;34;62;-0.5;"o";0;28;34;62;0.5;0.504298931;0;0;0.50635593220339;0.510709510631356;0.0645159902179927;0.0645159878207245;0.062906507084633;0.0629065047471696
"Milders et al. (2003)";17;17;34;-1.01;"r";0;17;17;34;1.01;1.00575432;0;0;1.03443548387097;1.03008708580645;0.117640653257812;0.11764070699515;0.112148470735453;0.112148521964005
"Milders et al. (2008)";34;33;67;-2.07;"o";0;34;33;67;2.07;2.07;0;2;2.0942578125;2.0942578125;0.0596997513784479;0.0596997513784479;0.0583247552412451;0.0583247552412451
"Spell & Frank (2000)";24;24;48;-0.56;"o";0;24;24;48;0.56;0.559310377;0;0;0.569333333333333;0.568632216616667;0.0833328448432913;0.0833328460456648;0.0806230157043399;0.0806230168676144
