"study";"n";"d";"pub";"type";"r";"z";"vz";"zexp";"nnew";"znew";"znewexp";"disc";"disccat";"info";"ndisc";"newvz"
"Anthony & Horne (2003)";298;-0.43;0;"Outlier";-0.21019671;-0.21337714;0.003389831;0.21337714;238;-0.213171347;0.213171347;0.000205794;0;0;60;0.00425531914893617
"Belianin & Novarese (2005)";24;-1.9;1;"Outlier";-0.688749462;-0.845572697;0.047619048;0.845572697;24;-0.8449761;0.8449761;0.000596597;0;0;0;0.0476190476190476
"Bonacich (1972)";120;-0.3;0;"Random";-0.148340453;-0.14944312;0.008547009;0.14944312;120;-0.147216485;0.147216485;0.002226635;0;0;0;0.00854700854700855
"Boone et al. (2010)";112;-0.13;0;"Random";-0.064863121;-0.064954316;0.009174312;0.064954316;322;-0.035014302;0.035014302;0.029940014;1;3;-210;0.00313479623824451
"Corfman & Lehmann (1994)";227;-0.47;0;"Outlier";-0.228768027;-0.23288907;0.004464286;0.23288907;227;-0.23288907;0.23288907;2.78e-16;0;0;0;0.00446428571428571
"Hardy & van Vugt (2006)";62;0.49;0;"Outlier";0.23796223;0.242612911;0.016949153;-0.242612911;66;0.233676909;-0.233676909;-0.008936002;0;0;-4;0.0158730158730159
"Hemesath & Pomponio (1998)";30;-0.59;0;"Random";-0.282945147;-0.290880635;0.037037037;0.290880635;30;-0.295119059;0.295119059;-0.004238424;0;0;0;0.037037037037037
"Hottes & Kahn (1974)";60;0.86;0;"Outlier";0.395027751;0.417743499;0.01754386;-0.417743499;60;0.394645083;-0.394645083;-0.023098416;1;1;0;0.0175438596491228
"Kurzban & Houser (2001)";72;0.47;0;"Outlier";0.228768027;0.23288907;0.014492754;-0.23288907;57;0.234189467;-0.234189467;0.001300396;0;0;15;0.0185185185185185
"Kuwabara (2005)";122;0.11;0;"Random";0.054917001;0.054972309;0.008403361;-0.054972309;122;0.049811151;-0.049811151;-0.005161158;0;3;0;0.00840336134453781
"Lindskold et al. (1977), exp 1";54;-0.31;0;"Random";-0.153170954;-0.15438597;0.019607843;0.15438597;64;-0.26833762;0.26833762;-0.11395165;3;1;-10;0.0163934426229508
"Lindskold et al. (1977), exp 3";168;0;0;"Random";0;0;0.006060606;0;168;0;0;0;0;0;0;0.00606060606060606
"Mason et al. (1991)";82;-0.23;0;"Random";-0.114247023;-0.114748018;0.012658228;0.114748018;82;-0.109471406;0.109471406;0.005276611;0;0;0;0.0126582278481013
"McCallum et al. (1985), exp 2";124;0;0;"Random";0;0;0.008264463;0;124;0;0;0;0;0;0;0.00826446280991736
"Miller & Pyke (1973)";82;-0.6;0;"Outlier";-0.287347886;-0.295673048;0.012658228;0.295673048;81;-0.296066922;0.296066922;-0.000393875;0;0;1;0.0128205128205128
"Oskamp & Perlaman (1965)";32;1.18;0;"Outlier";0.508148862;0.560231076;0.034482759;-0.560231076;32;0.561388117;-0.561388117;0.001157041;0;0;0;0.0344827586206897
"Sell (1997), exp 2";83;-0.45;0;"Random";-0.219512195;-0.223143551;0.0125;0.223143551;83;-0.221101684;0.221101684;0.002041867;0;0;0;0.0125
"Sell (1997), exp 3";79;0.47;0;"Outlier";0.228768027;0.23288907;0.013157895;-0.23288907;79;0.233281392;-0.233281392;0.000392321;0;0;0;0.0131578947368421
"Sell et al. (1993), exp 3";25;0.52;0;"Random";0.251633852;0.257156349;0.045454545;-0.257156349;25;0.255618785;-0.255618785;-0.001537563;0;0;0;0.0454545454545455
"Shinada & Yamagishi (2007), exp 2";144;0;0;"Random";0;0;0.007092199;0;144;0;0;0;0;0;0;0.00709219858156028
"Smith et al. (1975)";96;-0.5;0;"Outlier";-0.242535625;-0.247466462;0.010752688;0.247466462;96;-0.247466462;0.247466462;0;0;2;0;0.010752688172043
