"study";"n";"r";"pub";"type";"z";"zexp";"nnew";"znew";"znewexp";"disc";"disccat";"info";"ndisc";"vz";"newvz"
"Breland & Griswold";583;0.42;1;"Outlier";0.447692024;0.447692024;583;0.500539;0.500539;0.052846976;1;1;0;0.001724138;0.00172413793103448
"Bridgeman et al.";2835;0.37;1;"Outlier";0.3884231;0.3884231;2835;0.382642354;0.382642354;-0.005780745;0;0;0;0.000353107;0.000353107344632768
"Cleary (1968)";125;0.54;0;"Outlier";0.604155603;0.604155603;125;0.605439949;0.605439949;0.001284347;0;0;0;0.008196721;0.00819672131147541
"Davis & Kerner";552;0.32;1;"Outlier";0.331647109;0.331647109;552;0.33304825;0.33304825;0.001401141;0;0;0;0.001821494;0.00182149362477231
"Davis & Kerner";38;0.64;1;"Outlier";0.758173745;0.758173745;38;0.756553305;0.756553305;-0.00162044;0;0;0;0.028571429;0.0285714285714286
"Farr et al.";51;-0.23;1;"Outlier";-0.234189467;-0.234189467;51;-0.234189467;-0.234189467;0;0;0;0;0.020833333;0.0208333333333333
"OLeary et al.";17;0.13;1;"Random";0.13073985;0.13073985;17;0.107073994;0.107073994;-0.023665856;1;3;0;0.071428571;0.0714285714285714
"Valentine";1073;0.14;1;"Outlier";0.140925576;0.140925576;1073;0.140925576;0.140925576;0;0;0;0;0.000934579;0.000934579439252336
"Valentine";136;0.02;1;"Outlier";0.020002667;0.020002667;136;0.020002667;0.020002667;0;0;0;0;0.007518797;0.0075187969924812
"Valentine";181;0.3;1;"Random";0.309519604;0.309519604;181;0.309519604;0.309519604;0;0;0;0;0.005617978;0.00561797752808989
"Wightman";231;0.22;1;"Random";0.223656109;0.223656109;231;0.223656109;0.223656109;3.89e-16;0;0;0;0.004385965;0.0043859649122807
"Wightman";400;0.19;1;"Random";0.192337169;0.192337169;400;0.192337169;0.192337169;2.5e-16;0;0;0;0.002518892;0.00251889168765743
"Wightman & Muller";41;0.51;1;"Outlier";0.562729769;0.562729769;41;0.562729769;0.562729769;0;0;0;0;0.026315789;0.0263157894736842
"Wightman & Muller";43;0.25;1;"Random";0.255412812;0.255412812;43;0.255412812;0.255412812;0;0;0;0;0.025;0.025
"Wightman & Muller";39;0.18;1;"Random";0.181982689;0.181982689;39;0.181982689;0.181982689;-2.22e-16;0;0;0;0.027777778;0.0277777777777778
"Wightman & Muller";41;0.46;1;"Random";0.497311288;0.497311288;41;0.497311288;0.497311288;0;0;0;0;0.026315789;0.0263157894736842
"Wightman & Muller";130;0.42;1;"Outlier";0.447692024;0.447692024;130;0.447692024;0.447692024;0;0;0;0;0.007874016;0.0078740157480315
"Wightman & Muller";55;0.61;1;"Outlier";0.708921359;0.708921359;55;0.708921359;0.708921359;0;0;0;0;0.019230769;0.0192307692307692
"Wightman & Muller";38;0.32;1;"Random";0.331647109;0.331647109;38;0.331647109;0.331647109;0;0;0;0;0.028571429;0.0285714285714286
"Wilbourn et al.";27;0.06;1;"Random";0.060072156;0.060072156;27;0.060072156;0.060072156;0;0;0;0;0.041666667;0.0416666666666667
"Wilbourn et al.";31;0.47;1;"Random";0.510070337;0.510070337;31;0.510070337;0.510070337;0;0;0;0;0.035714286;0.0357142857142857
"Wilbourn et al.";27;0.5;1;"Random";0.549306144;0.549306144;27;0.549306144;0.549306144;0;0;0;0;0.041666667;0.0416666666666667
"Wilbourn et al.";85;0.41;1;"Random";0.435611223;0.435611223;85;0.435611223;0.435611223;0;0;0;0;0.012195122;0.0121951219512195
