"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c"
"Bachelor (1991)";NA;NA;47;0.49;0;"r";NA;NA;47;0.49;0.49;0;3;0.0125532176086957;0.0125532176086957
"Conte, Ratto, Clutz, & Karasu (1995)";NA;NA;138;0.29;0;"r";NA;NA;138;0.29;0.23;1;3;0.00612315919708029;0.00654743364963504
"Cramer & Takens (1992)";NA;NA;37;0.37;0;"r";NA;NA;37;0.37;0.407933818;1;3;0.0206928225;0.0193020080088881
"Eckert, Abeles, & Graham, Jr. (1988)";NA;NA;77;0.35;0;"r";NA;NA;77;0.35;0.352183664;0;3;0.0101316611842105;0.0100962842284857
"Hayes & Strauss (1998)";NA;NA;32;0.31;0;"r";NA;NA;30;0.31;0.29;0;3;0.026355974516129;0.0289266486206897
"Henry, Schacht, & Strupp (1990)";NA;NA;14;0;0;"r";NA;NA;14;0;0;0;3;0.0769230769230769;0.0769230769230769
"Najavits & Strupp (1994)";NA;NA;12;0.75;0;"o";5;7;12;0.75;0.844670273;2;3;0.0174005681818182;0.00746369649734742
"Quintana & Meara (1990)";NA;NA;48;0.02;0;"r";NA;NA;48;0.02;0.04669061;1;3;0.0212595778723404;0.0211839303475023
"Rabavilas, Boulougouris, & Perissaki (1979)";NA;NA;36;0.09;0;"r";23;13;36;0.09;0.089752747;0;3;0.028110446;0.0281129651653668
"Sells, Davidson, Jewell, Falzer, & Rowe (2006)";NA;NA;83;0.33;0;"r";NA;NA;68;0.33;0.3;1;1;0.00968364890243902;0.0123597014925373
"Williams & Blatt (2006)";NA;NA;33;0.2;0;"r";NA;NA;31;0.2;0.202072594;0;0;0.0288;0.0306666898204064
