"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"vz.o";"vz.c";"z.o";"z.c"
"Ackerman et al. (2002), exp 2";NA;NA;228;0.47;0;"o";NA;NA;228;0.47;0.468;0;0;0.00267399475770925;0.00268688772059912;0.00444444444444444;0.00444444444444444;0.510070336613307;0.507506359916408
"Ackerman et al. (2002), exp 7";NA;NA;228;-0.09;0;"o";NA;NA;228;-0.09;-0.091;0;0;0.00433420973568282;0.00433262808352863;0.00444444444444444;0.00444444444444444;-0.0902441878561468;-0.091252445827796
"Bailey & Bailey (1974), exp 1";NA;NA;37;0.4;0;"r";NA;NA;37;0.4;0.4;0;0;0.0196;0.0196;0.0294117647058824;0.0294117647058824;0.423648930193602;0.423648930193602
"Bailey & Bailey (1974), exp 3";NA;NA;40;0.29;0;"r";NA;NA;40;0.29;0.29;0;0;0.0215095592307692;0.0215095592307692;0.027027027027027;0.027027027027027;0.298566263660178;0.298566263660178
"Chamorro-Premuzic & Furnham (2006), exp 2";NA;NA;184;0.41;0;"r";NA;NA;184;0.41;0.414;0;0;0.00378173557377049;0.00375182835418579;0.00552486187845304;0.00552486187845304;0.435611223236224;0.440429028439753
"Chamorro-Premuzic et al. (2004), exp 3";NA;NA;83;0.4;0;"r";NA;NA;83;0.4;0.4;0;0;0.00860487804878049;0.00860487804878049;0.0125;0.0125;0.423648930193602;0.423648930193602
"DeNisi & Shaw (1977), exp 2";NA;NA;114;0.36;0;"r";NA;NA;114;0.36;0.36;0;0;0.00670439079646018;0.00670439079646018;0.00900900900900901;0.00900900900900901;0.37688590118819;0.37688590118819
"DeNisi & Shaw (1977), exp 6";NA;NA;114;0.35;0;"r";NA;NA;114;0.35;0.35;0;0;0.00681421460176991;0.00681421460176991;0.00900900900900901;0.00900900900900901;0.365443754271396;0.365443754271396
"DeNisi & Shaw (1977), exp 7";NA;NA;114;0.21;0;"r";NA;NA;114;0.21;0.21;0;0;0.00808623725663717;0.00808623725663717;0.00900900900900901;0.00900900900900901;0.21317134656486;0.21317134656486
"Furnham & Dissou (2007), exp 1";NA;NA;101;0.53;0;"o";NA;NA;101;0.53;0.53;0;0;0.0051710481;0.0051710481;0.0102040816326531;0.0102040816326531;0.590145159841189;0.590145159841189
"Furnham & Dissou (2007), exp 2";NA;NA;101;0.51;0;"o";NA;NA;101;0.51;0.51;0;0;0.0054745201;0.0054745201;0.0102040816326531;0.0102040816326531;0.562729769352149;0.562729769352149
"Furnham (2009), exp 1";NA;NA;187;0.44;0;"r";NA;NA;187;0.44;0.44;0;0;0.00349613419354839;0.00349613419354839;0.00543478260869565;0.00543478260869565;0.472230804420426;0.472230804420426
"Furnham (2009), exp 6";NA;NA;187;0.35;0;"r";NA;NA;187;0.35;0.35;0;0;0.0041398185483871;0.0041398185483871;0.00543478260869565;0.00543478260869565;0.365443754271396;0.365443754271396
"Proyer & Ruch (2009), exp 3";NA;NA;167;0.16;0;"o";NA;NA;167;0.16;0.16;0;0;0.00571961060240964;0.00571961060240964;0.00609756097560976;0.00609756097560976;0.161386696131526;0.161386696131526
"Rammstedt & Rammsayer (2002b), exp 6";NA;NA;228;-0.04;0;"o";NA;NA;228;-0.04;-0.04;0;0;0.00439120070484581;0.00439120070484581;0.00444444444444444;0.00444444444444444;-0.0400213538367682;-0.0400213538367682
"Steinmayr & Spinath (2009), exp 7";NA;NA;203;0.3;0;"r";NA;NA;203;0.3;0.3;0;0;0.00409950495049505;0.00409950495049505;0.005;0.005;0.309519604203112;0.309519604203112
"Visser et al. (2008), exp 2";NA;NA;200;0.05;0;"o";NA;NA;200;0.05;0.05;0;0;0.00500003140703518;0.00500003140703518;0.0050761421319797;0.0050761421319797;0.0500417292784913;0.0500417292784913
"Westbrook et al. (1994), exp 1";NA;NA;111;0.66;0;"o";NA;NA;111;0.66;0.66;0;0;0.00289588509090909;0.00289588509090909;0.00925925925925926;0.00925925925925926;0.792813631870191;0.792813631870191
"Westbrook et al. (1994), exp 2";NA;NA;111;0.59;0;"o";NA;NA;111;0.59;0.59;0;0;0.00386339645454545;0.00386339645454545;0.00925925925925926;0.00925925925925926;0.677666067757962;0.677666067757962
"Westbrook et al. (1994), exp 13";NA;NA;99;0.35;0;"r";NA;NA;99;0.35;0.35;0;0;0.00785720663265306;0.00785720663265306;0.0104166666666667;0.0104166666666667;0.365443754271396;0.365443754271396
