"study";"a1";"a2";"a3";"a4";"a5";"a6";"yop";"n";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz"
"Althay";"Athay";"";"";"";"";"";1973;150;0.24;0.244774113;0.244774113;150;0.244774113;0.244774113;0.006802721;0.00680272108843537
"Buckley et al.";"Buckley";"Karasu";"Charles";"";"";"";1981;71;0.06;0.060072156;0.060072156;71;0.056427201;0.056427201;0.014705882;0.0147058823529412
"Fretz";"Fretz";"";"";"";"";"";1966;17;0.25;0.255412812;0.255412812;17;0.156808139;0.156808139;0.071428571;0.0714285714285714
"Fuertes et al.";"Fuertes";"Mislowach";"Brown";"Gur-Arie";"Wilkinson";"Gelso";2007;59;0.34;0.354092529;0.354092529;59;0.354092529;0.354092529;0.017857143;0.0178571428571429
"Garfield & Bergin";"Garfield";"Bergin";"";"";"";"";1971;38;-0.26;-0.266108407;-0.266108407;38;-0.038454227;-0.038454227;0.028571429;0.0285714285714286
"Hansen et al.";"Hansen";"Moore";"Carkhuff";"";"";"";1968;70;0.69;0.847955755;0.847955755;70;0.426497592;0.426497592;0.014925373;0.0149253731343284
"Jones & Zoppel";"Jones";"Zoppel";"";"";"";"";1982;99;-0.02;-0.020002667;-0.020002667;99;-0.052455491;-0.052455491;0.010416667;0.0104166666666667
"Maramarosh et al.";"Marmarosh";"Gelso";"Majors";"Markin";"Mallery";"Choi";2009;31;0.41;0.435611223;0.435611223;31;0.460516094;0.460516094;0.035714286;0.0357142857142857
"Melnick & Pierce";"Melnick";"Pierce";"";"";"";"";1971;18;0.42;0.447692024;0.447692024;18;0.421911045;0.421911045;0.066666667;0.0666666666666667
"Ritter et al.";"Ritter";"Bowden";"Murray";"Ross";"Greeley";"Pead";2002;37;0.21;0.213171347;0.213171347;37;0.207724556;0.207724556;0.029411765;0.0294117647058824
"Rothman";"Rothman";"";"";"";"";"";2007;44;0.5;0.549306144;0.549306144;44;0.549306144;0.549306144;0.024390244;0.024390243902439
"Staples et al.";"Staples";"Sloane";"";"";"";"";1976;17;0.16;0.161386696;0.161386696;17;0.158309385;0.158309385;0.071428571;0.0714285714285714
"Truax";"Truax";"";"";"";"";"";1966;63;0.38;0.40005965;0.40005965;63;0.429671045;0.429671045;0.016666667;0.0166666666666667
"Truax";"Truax";"";"";"";"";"";1971;34;-0.02;-0.020002667;-0.020002667;34;-0.020002667;-0.020002667;0.032258065;0.032258064516129
"Truax";"Truax";"";"";"";"";"";1971;72;0.28;0.287682072;0.287682072;72;0.287682072;0.287682072;0.014492754;0.0144927536231884
"Truax";"Truax";"";"";"";"";"";1971;43;0.11;0.110446916;0.110446916;43;0.110446916;0.110446916;0.025;0.025
