"study";"a1";"a2";"a3";"a4";"a5";"a6";"yop";"n";"r";"design";"age";"secure";"z";"vz";"zexp";"nnew";"znew";"znewexp";"newvz"
"Belsky (1983)";"Belsky";"";"";"";"";"";1983;51;0.11;"P";13;63;0.110446916;0.020833333;0.110446916;51;0.110446916;0.110446916;0.0208333333333333
"Braungart-Rieker (2001)";"Braungart-Rieker";"Garwood";"Powers";"Wang";"";"";2001;86;0.11;"C";20.5;66;0.110446916;0.012048193;0.110446916;86;0.110446916;0.110446916;0.0120481927710843
"Caldera (1995) ";"Caldera";"Huston";"Obrien";"";"";"";1995;90;0.16;"C";15;64;0.161386696;0.011494253;0.161386696;90;0.161386696;0.161386696;0.0114942528735632
"Cox (1992)";"Cox";"Owen";"Henderson";"Margand";"";"";1992;33;0.43;"P";12.5;63;0.459896681;0.033333333;0.459896681;33;0.459896681;0.459896681;0.0333333333333333
"Easterbrooks (1984)";"Easterbrooks";"Goldberg";"";"";"";"";1984;75;0;"P";18;41;0;0.013888889;0;75;0;0;0.0138888888888889
"Eiden (2002)";"Eiden";"Edwards";"Leonard";"";"";"";2002;220;0.14;"P";13;80;0.140925576;0.004608295;0.140925576;220;0.140925576;0.140925576;0.00460829493087558
"Goossens (1990)";"Goossens";"Van Ijzerdoorn";"";"";"";"";1990;75;0.26;"C";21.5;69;0.266108407;0.013888889;0.266108407;75;0.266108407;0.266108407;0.0138888888888889
"Grossmann (1992)";"Grossmann";"Grossmann";"";"";"";"";1992;46;0.03;"P";18;68;0.030009005;0.023255814;0.030009005;46;0.030009005;0.030009005;0.0232558139534884
"Hazen (2010)";"Hazen";"McFarland";"Jacobvitz";"Boyd-Soisson";"";"";2010;105;0;"P";13;68;0;0.009803922;0;105;0;0;0.00980392156862745
"Kochanska (2005)";"Kochanska";"Aksan";"Carlson";"";"";"";2005;100;0;"C";12.5;60;0;0.010309278;0;100;0;0;0.0103092783505155
"Lucassen (2010)";"Lucassen";"Tharner";"Van Ijzerdoorn";"";"";"";2010;84;0.2;"C";13.5;61;0.202732554;0.012345679;0.202732554;84;0.202732554;0.202732554;0.0123456790123457
"Schneider Rosen (1993)";"Schneider Rosen";"Rothbaum";"";"";"";"";1993;62;0;"P";15;66;0;0.016949153;0;62;0;0;0.0169491525423729
"Schoppe-Sullivan (2006)";"Schoppe-Sullivan";"Diener";"Mangelsdorf";"Brown";"McHale";"Frosch";2006;91;0.17;"C";12;64;0.171666664;0.011363636;0.171666664;91;0.171666664;0.171666664;0.0113636363636364
"Volling (1992)";"Volling";"Belsky";"";"";"";"";1992;113;0.16;"P";13;64;0.161386696;0.009090909;0.161386696;113;0.161386696;0.161386696;0.00909090909090909
"Volling (2002)";"Volling";"McElwain";"Notaro";"Herrera";"";"";2002;62;0;"P";13.5;59;0;0.016949153;0;62;0;0;0.0169491525423729
"Wong (2009) ";"Wong";"Mangelsdorf";"Brown";"Neff";"Schoppe-Sullivan";"";2009;62;0.24;"C";14;68;0.244774113;0.016949153;0.244774113;62;0.151140436;0.151140436;0.0169491525423729
