"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"pub";"setting";"sample";"design";"type";"id";"vr"
"Bolanovich & Goodmann";"Bolanovich";"Goodman";NA;NA;NA;NA;NA;1944;66;0.1;"journal";"civilian";"trainees";"predictive";"construct";29;0.0150784615384615
"Clark exp 1";"Clark";"";NA;NA;NA;NA;NA;1961;547;0.3;"book";"military";"trainees";"concurrent";"vocation";29;0.00151666666666667
"Clark exp 2";"Clark";"";NA;NA;NA;NA;NA;1961;547;0.24;"book";"military";"trainees";"concurrent";"vocation";29;0.0016265893040293
"Clark exp 3";"Clark";"";NA;NA;NA;NA;NA;1961;461;0.31;"book";"military";"trainees";"concurrent";"vocation";29;0.0017761635
"DuBois & Watson ";"DuBois";"Watson";NA;NA;NA;NA;NA;1950;129;0.02;"journal";"civilian";"employees";"predictive";"vocation";29;0.00780625125
"Johnson & Hogan";"Johnson";"Hogan";NA;NA;NA;NA;NA;1981;50;-0.17;"journal";"civilian";"trainees";"concurrent";"construct";29;0.0192456165306122
"Lau & Abrahams exp 1";"Lau";"Abrahams";NA;NA;NA;NA;NA;1969;239;0.31;"technical";"military";"trainees";"predictive";"basic";29;0.00343292105042017
"Lau & Abrahams exp 2";"Lau";"Abrahams";NA;NA;NA;NA;NA;1969;97;0.15;"technical";"military";"trainees";"predictive";"basic";29;0.00995319010416667
"Lau & Abrahams exp 3";"Lau";"Abrahams";NA;NA;NA;NA;NA;1969;93;0.14;"technical";"military";"trainees";"predictive";"basic";29;0.0104476539130435
"Lau & Abrahams exp 4";"Lau";"Abrahams";NA;NA;NA;NA;NA;1969;77;0.23;"technical";"military";"trainees";"predictive";"basic";29;0.0118026106578947
"Lau & Abrahams exp 5";"Lau";"Abrahams";NA;NA;NA;NA;NA;1969;94;0.21;"technical";"military";"trainees";"predictive";"basic";29;0.00982521301075269
"Lau & Abrahams exp 6";"Lau";"Abrahams";NA;NA;NA;NA;NA;1969;73;0.14;"technical";"military";"trainees";"predictive";"basic";29;0.01334978
"Lau & Abrahams exp 7";"Lau";"Abrahams";NA;NA;NA;NA;NA;1969;168;0.06;"technical";"military";"trainees";"predictive";"basic";29;0.00594498778443114
"McCullah exp 1";"McCullah";"";NA;NA;NA;NA;NA;1969;108;0.34;"dissertation";"military";"trainees";"predictive";"vocation";29;0.00730993794392523
"McCullah exp 2";"McCullah";"";NA;NA;NA;NA;NA;1969;76;0.23;"dissertation";"military";"trainees";"predictive";"vocation";29;0.0119599788
"Spaulding";"Spaulding";"";NA;NA;NA;NA;NA;1980;266;0.2;"thesis";"civilian";"trainees";"predictive";"vocation";29;0.0034777358490566
"Spies 1965";"Spies";"";NA;NA;NA;NA;NA;1965;444;0.22;"dissertation";"military";"trainees";"predictive";"basic";29;0.00204411413092551
