"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"Birman & Taylor-Ritzler (2007)";NA;NA;226;-0.19;0;"o";NA;NA;226;0.19;0.19;0;0;0.0041293476;0.0041293476;0.192337169219545;0.00448430493273543;0.192337169219545;0.00448430493273543
"Castillo et al. (2004)";NA;NA;247;0.03;0;"r";NA;NA;247;-0.03;-0.03;0;0;0.0040577268699187;0.0040577268699187;-0.0300090048631265;0.00409836065573771;-0.0300090048631265;0.00409836065573771
"Ce´spedes & Huey (2008)";NA;NA;130;0.03;0;"r";NA;NA;130;-0.03;-0.03;0;0;0.0077379907751938;0.0077379907751938;-0.0300090048631265;0.0078740157480315;-0.0300090048631265;0.0078740157480315
"Hwang & Ting (2008)";NA;NA;186;-0.16;0;"r";NA;NA;186;0.16;0.16;0;0;0.00513219113513514;0.00513219113513514;0.161386696131526;0.00546448087431694;0.161386696131526;0.00546448087431694
"Moradi & Risco (2006)";NA;NA;128;-0.04;0;"r";NA;NA;128;0.04;0.04;0;0;0.00784883905511811;0.00784883905511811;0.0400213538367683;0.008;0.0400213538367683;0.008
"Obasi & Leong (2009)";NA;NA;130;0.28;0;"o";NA;NA;130;-0.28;-0.284;0;0;0.00658408186046512;0.0065518867467907;-0.287682072451781;0.0078740157480315;-0.29202765864463;0.0078740157480315
"Olvera et al. (2007)";NA;NA;96;0.08;0;"r";NA;NA;96;-0.08;-0.08;0;0;0.0103920101052632;0.0103920101052632;-0.0801713250375897;0.010752688172043;-0.0801713250375897;0.010752688172043
"Rodriguez et al. (2003)a";NA;NA;338;-0.01;0;"r";NA;NA;338;0.01;0.01;0;0;0.00296676560830861;0.00296676560830861;0.0100003333533347;0.00298507462686567;0.0100003333533347;0.00298507462686567
"Torres & Rollock (2007)";NA;NA;96;-0.27;0;"o";NA;NA;96;0.27;0.27;0;0;0.00904752010526316;0.00904752010526316;0.2768638226551;0.010752688172043;0.2768638226551;0.010752688172043
"Wang & Mallinckrodt (2006)";NA;NA;104;-0.45;0;"o";NA;NA;104;0.45;0.45;0;0;0.00617481796116505;0.00617481796116505;0.484700278594052;0.0099009900990099;0.484700278594052;0.0099009900990099
"Yeh (2003)";NA;NA;319;-0.05;0;"r";NA;NA;319;0.05;0.05;0;0;0.00312895047169811;0.00312895047169811;0.0500417292784913;0.00316455696202532;0.0500417292784913;0.00316455696202532
